#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
194,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
195,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
196,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
197,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
198,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
199,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
200,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
201,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
202,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
203,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
204,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
205,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
206,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
207,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
208,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
209,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
210,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
211,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
212,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
213,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
214,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
215,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
216,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
217,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
218,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
219,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
220,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
221,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
222,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
